determined_at,type,special_key,meta_key,target.target_id,masked_key,gid,target.target_type,shift_key,control_key
48837,KEY_UP,Backspace,,e419caa7-3217-4e14-aa99-551e8dc381ae,,55234539,email,,
48886,KEY_DOWN,Backspace,,e419caa7-3217-4e14-aa99-551e8dc381ae,,55234539,email,,
48998,KEY_UP,Backspace,,e419caa7-3217-4e14-aa99-551e8dc381ae,,55234539,email,,
49128,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,351.0,55234539,email,,
49220,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,351.0,55234539,email,,
49334,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1075.0,55234539,email,,
49401,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1075.0,55234539,email,,
49448,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7799.0,55234539,email,,
49539,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7799.0,55234539,email,,
49646,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,117.0,55234539,email,,
49693,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1103.0,55234539,email,,
49785,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,117.0,55234539,email,,
49831,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1103.0,55234539,email,,
50130,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,87.0,55234539,email,,
50200,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,87.0,55234539,email,,
50569,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,378.0,55234539,email,,
50660,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,378.0,55234539,email,,
50727,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,67.0,55234539,email,,
50817,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7867.0,55234539,email,,
50930,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,67.0,55234539,email,,
50956,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7867.0,55234539,email,,
51073,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7799.0,55234539,email,,
51186,KEY_UP,,,e419caa7-3217-4e14-aa99-551e8dc381ae,7799.0,55234539,email,,
51204,KEY_DOWN,,,e419caa7-3217-4e14-aa99-551e8dc381ae,1103.0,55234539,email,,
